,datetime,open,high,low,close,volume,symbol_state,sector_state_sector,macro_state_macro,symbol_range_position,action_signal,position_action,position_delta,position_size,executed_price
0,2025-02-03 14:30:00+00:00,7.88,7.88,7.88,7.88,12147.0,range_neutral,weak,risk_off,,avoid,avoid,0,0,
1,2025-02-03 14:45:00+00:00,7.88,7.88,7.61,7.62,544.0,range_neutral,weak,risk_off,,hold,hold,0,0,
2,2025-02-03 15:00:00+00:00,7.62,7.62,7.27,7.46,4116.0,range_neutral,weak,risk_off,,hold,hold,0,0,
3,2025-02-03 15:15:00+00:00,7.57,7.62,7.34,7.5,1098.0,range_neutral,weak,risk_off,,hold,hold,0,0,
4,2025-02-03 15:30:00+00:00,7.4,7.45,7.4,7.45,390.0,range_neutral,weak,risk_off,,hold,hold,0,0,
5,2025-02-03 15:45:00+00:00,7.49,7.49,7.48,7.49,100.0,range_neutral,weak,risk_off,,hold,hold,0,0,
6,2025-02-03 16:00:00+00:00,7.49,7.85,7.48,7.85,10474.0,range_neutral,weak,risk_off,,hold,hold,0,0,
7,2025-02-03 16:15:00+00:00,7.85,7.85,7.57,7.71,2243.0,range_neutral,weak,risk_off,,hold,hold,0,0,
8,2025-02-03 16:30:00+00:00,7.71,7.71,7.63,7.71,1350.0,range_neutral,weak,risk_off,,hold,hold,0,0,
9,2025-02-03 16:45:00+00:00,7.71,7.71,7.56,7.66,900.0,range_neutral,weak,risk_off,,hold,hold,0,0,
10,2025-02-03 17:00:00+00:00,7.57,7.66,7.55,7.66,1120.0,risk_rising,weak,risk_off,,reduce,hold,0,0,
11,2025-02-03 17:15:00+00:00,7.66,7.71,7.62,7.62,200.0,range_neutral,weak,risk_off,,avoid,avoid,0,0,
12,2025-02-03 17:30:00+00:00,7.62,7.62,7.62,7.62,0.0,range_neutral,weak,risk_off,,hold,hold,0,0,
13,2025-02-03 17:45:00+00:00,7.62,7.62,7.62,7.62,0.0,range_neutral,weak,risk_off,,hold,hold,0,0,
14,2025-02-03 18:00:00+00:00,7.62,7.62,7.62,7.62,0.0,range_neutral,weak,risk_off,,hold,hold,0,0,
15,2025-02-03 18:15:00+00:00,7.62,7.65,7.62,7.62,200.0,range_neutral,weak,risk_off,,hold,hold,0,0,
16,2025-02-03 18:30:00+00:00,7.67,7.71,7.66,7.67,2134.0,risk_rising,weak,risk_off,,reduce,hold,0,0,
17,2025-02-03 18:45:00+00:00,7.67,7.67,7.67,7.67,0.0,risk_rising,weak,risk_off,,hold,hold,0,0,
18,2025-02-03 19:00:00+00:00,7.67,7.67,7.61,7.61,1000.0,risk_rising,weak,risk_off,,hold,hold,0,0,
19,2025-02-03 19:15:00+00:00,7.61,7.61,7.61,7.61,0.0,risk_rising,weak,risk_off,0.5573770491803288,hold,hold,0,0,
20,2025-02-03 19:30:00+00:00,7.61,7.74,7.61,7.74,481.0,pullback,weak,risk_off,0.7704918032786892,avoid,avoid,0,0,
21,2025-02-03 19:45:00+00:00,7.74,7.75,7.71,7.71,350.0,pullback,weak,risk_off,0.758620689655173,hold,hold,0,0,
