,datetime,open,high,low,close,volume,symbol_state,sector_state_sector,macro_state_macro,symbol_range_position,action_signal,position_action,position_delta,position_size,executed_price
0,2025-01-02 14:30:00+00:00,5.25,5.3,5.23,5.3,138490.0,range_neutral,weak,neutral,,hold,hold,0,0,
1,2025-01-02 14:45:00+00:00,5.2994,5.51,5.2606,5.5025,551422.0,range_neutral,weak,neutral,,hold,hold,0,0,
2,2025-01-02 15:00:00+00:00,5.51,5.54,5.435,5.535,545011.0,range_neutral,weak,neutral,,hold,hold,0,0,
3,2025-01-02 15:15:00+00:00,5.535,5.58,5.47,5.4795,493547.0,range_neutral,weak,neutral,,hold,hold,0,0,
4,2025-01-02 15:30:00+00:00,5.47,5.52,5.45,5.49,182771.0,range_neutral,weak,neutral,,hold,hold,0,0,
5,2025-01-02 15:45:00+00:00,5.49,5.57,5.48,5.55,185804.0,range_neutral,weak,neutral,,hold,hold,0,0,
6,2025-01-02 16:00:00+00:00,5.55,5.6,5.54,5.59,380041.0,range_neutral,weak,neutral,,hold,hold,0,0,
7,2025-01-02 16:15:00+00:00,5.595,5.63,5.58,5.58,363545.0,range_neutral,weak,neutral,,hold,hold,0,0,
8,2025-01-02 16:30:00+00:00,5.585,5.61,5.56,5.585,334443.0,range_neutral,weak,neutral,,hold,hold,0,0,
9,2025-01-02 16:45:00+00:00,5.5807,5.62,5.58,5.6199,311980.0,range_neutral,weak,neutral,,hold,hold,0,0,
10,2025-01-02 17:00:00+00:00,5.615,5.65,5.58,5.605,168756.0,range_neutral,weak,neutral,,hold,hold,0,0,
11,2025-01-02 17:15:00+00:00,5.6,5.655,5.5905,5.65,195815.0,range_neutral,weak,neutral,,hold,hold,0,0,
12,2025-01-02 17:30:00+00:00,5.6406,5.645,5.6,5.605,209833.0,range_neutral,weak,neutral,,hold,hold,0,0,
13,2025-01-02 17:45:00+00:00,5.6009,5.635,5.58,5.605,241770.0,range_neutral,weak,neutral,,hold,hold,0,0,
14,2025-01-02 18:00:00+00:00,5.6011,5.65,5.6,5.65,151814.0,range_neutral,weak,neutral,,hold,hold,0,0,
15,2025-01-02 18:15:00+00:00,5.645,5.66,5.611,5.625,167374.0,range_neutral,weak,neutral,,hold,hold,0,0,
16,2025-01-02 18:30:00+00:00,5.625,5.63,5.59,5.59,117956.0,risk_rising,weak,neutral,,reduce,hold,0,0,
17,2025-01-02 18:45:00+00:00,5.595,5.65,5.5909,5.645,98227.0,range_neutral,weak,neutral,,hold,hold,0,0,
18,2025-01-02 19:00:00+00:00,5.6401,5.65,5.6,5.605,129625.0,range_neutral,weak,neutral,,hold,hold,0,0,
19,2025-01-02 19:15:00+00:00,5.61,5.615,5.58,5.59,93818.0,trend_late,weak,neutral,0.8372093023255807,hold,hold,0,0,
20,2025-01-02 19:30:00+00:00,5.59,5.63,5.58,5.625,114719.0,pullback,weak,neutral,0.9123685528292435,hold,hold,0,0,
21,2025-01-02 19:45:00+00:00,5.63,5.65,5.61,5.62,158914.0,trend_late,weak,neutral,0.8222222222222225,hold,hold,0,0,
22,2025-01-02 20:00:00+00:00,5.62,5.64,5.61,5.615,90277.0,pullback,weak,neutral,0.785714285714286,hold,hold,0,0,
23,2025-01-02 20:15:00+00:00,5.611,5.6399,5.6101,5.63,106223.0,pullback,weak,neutral,0.857142857142856,hold,hold,0,0,
24,2025-01-02 20:30:00+00:00,5.64,5.66,5.625,5.65,152010.0,pullback,weak,neutral,0.9444444444444455,hold,hold,0,0,
25,2025-01-02 20:45:00+00:00,5.645,5.7,5.63,5.64,411851.0,pullback,weak,neutral,0.6249999999999972,hold,hold,0,0,
26,2025-01-02 21:00:00+00:00,5.645,5.69,5.64,5.68,400645.0,pullback,weak,neutral,0.8571428571428544,hold,hold,0,0,
27,2025-01-03 14:30:00+00:00,5.7,5.73,5.64,5.6475,167319.0,pullback,weak,neutral,0.5147058823529408,buy,buy,200,200,5.6475
28,2025-01-03 14:45:00+00:00,5.63,5.77,5.6,5.715,331701.0,pullback,weak,neutral,0.7105263157894744,hold,hold,0,200,
29,2025-01-03 15:00:00+00:00,5.72,5.72,5.63,5.64,227278.0,pullback,weak,neutral,0.3157894736842093,hold,hold,0,200,
30,2025-01-03 15:15:00+00:00,5.635,5.71,5.63,5.655,167307.0,pullback,weak,neutral,0.3947368421052651,hold,hold,0,200,
31,2025-01-03 15:30:00+00:00,5.65,5.6592,5.62,5.64,110328.0,pullback,weak,neutral,0.3157894736842093,hold,hold,0,200,
32,2025-01-03 15:45:00+00:00,5.64,5.65,5.61,5.62,69316.0,pullback,weak,neutral,0.21052631578947442,hold,hold,0,200,
33,2025-01-03 16:00:00+00:00,5.6299,5.6299,5.53,5.53,210317.0,trend_late,weak,neutral,0.0,hold,hold,0,200,
34,2025-01-03 16:15:00+00:00,5.535,5.55,5.49,5.49,192596.0,trend_late,weak,neutral,0.0,hold,hold,0,200,
35,2025-01-03 16:30:00+00:00,5.495,5.51,5.46,5.5054,255345.0,risk_rising,weak,neutral,0.14645161290322561,hold,hold,0,200,
36,2025-01-03 16:45:00+00:00,5.51,5.53,5.49,5.51,178252.0,risk_rising,weak,neutral,0.1612903225806448,hold,hold,0,200,
37,2025-01-03 17:00:00+00:00,5.51,5.55,5.49,5.52,179163.0,risk_rising,weak,neutral,0.1935483870967732,hold,hold,0,200,
38,2025-01-03 17:15:00+00:00,5.52,5.55,5.515,5.542,94025.0,risk_rising,weak,neutral,0.2645161290322579,hold,hold,0,200,
39,2025-01-03 17:30:00+00:00,5.545,5.57,5.53,5.545,281789.0,risk_rising,weak,neutral,0.27419354838709703,reduce,reduce,-200,0,5.545
40,2025-01-03 17:45:00+00:00,5.545,5.56,5.53,5.55,125759.0,risk_rising,weak,neutral,0.2903225806451612,hold,hold,0,0,
41,2025-01-03 18:00:00+00:00,5.55,5.57,5.53,5.565,118180.0,risk_rising,weak,neutral,0.33870967741935665,hold,hold,0,0,
42,2025-01-03 18:15:00+00:00,5.565,5.59,5.565,5.57,117121.0,risk_rising,weak,neutral,0.3548387096774208,hold,hold,0,0,
43,2025-01-03 18:30:00+00:00,5.575,5.6,5.57,5.5905,101752.0,range_neutral,weak,neutral,0.42096774193548314,hold,hold,0,0,
44,2025-01-03 18:45:00+00:00,5.595,5.64,5.59,5.635,154191.0,range_neutral,weak,neutral,0.5645161290322582,hold,hold,0,0,
45,2025-01-03 19:00:00+00:00,5.63,5.65,5.61,5.6425,94576.0,range_neutral,weak,neutral,0.5887096774193559,hold,hold,0,0,
46,2025-01-03 19:15:00+00:00,5.645,5.6673,5.64,5.655,99425.0,range_neutral,weak,neutral,0.6290322580645178,hold,hold,0,0,
47,2025-01-03 19:30:00+00:00,5.6588,5.66,5.65,5.65,38141.0,pullback,weak,neutral,0.6129032258064536,hold,hold,0,0,
48,2025-01-03 19:45:00+00:00,5.6576,5.685,5.65,5.665,53050.0,pullback,weak,neutral,0.7884615384615394,hold,hold,0,0,
49,2025-01-03 20:00:00+00:00,5.67,5.69,5.655,5.685,72672.0,pullback,weak,neutral,0.8999999999999986,hold,hold,0,0,
50,2025-01-03 20:15:00+00:00,5.6802,5.71,5.68,5.705,84123.0,pullback,weak,neutral,0.9800000000000004,hold,hold,0,0,
51,2025-01-03 20:30:00+00:00,5.7011,5.72,5.6901,5.72,183856.0,pullback,weak,neutral,1.0,buy,hold,0,0,
52,2025-01-03 20:45:00+00:00,5.71,5.715,5.68,5.685,176103.0,pullback,weak,neutral,0.8653846153846148,hold,hold,0,0,
53,2025-01-03 21:00:00+00:00,5.685,5.75,5.68,5.72,470308.0,pullback,weak,neutral,0.8965517241379302,hold,hold,0,0,
54,2025-01-06 14:30:00+00:00,5.95,5.9999,5.91,5.915,216960.0,breakout_setup,weak,neutral,0.8427486571587328,hold,hold,0,0,
55,2025-01-06 14:45:00+00:00,5.915,5.96,5.84,5.885,518206.0,breakout_setup,weak,neutral,0.774661698372229,hold,hold,0,0,
56,2025-01-06 15:00:00+00:00,5.885,5.97,5.84,5.94,407552.0,breakout_setup,weak,neutral,0.8825259854873507,hold,hold,0,0,
57,2025-01-06 15:15:00+00:00,5.939,5.98,5.9,5.965,272215.0,breakout_setup,weak,neutral,0.9280263971952973,hold,hold,0,0,
58,2025-01-06 15:30:00+00:00,5.9606,6.01,5.92,6.0,202006.0,breakout_setup,weak,neutral,0.9791666666666671,hold,hold,0,0,
59,2025-01-06 15:45:00+00:00,6.0089,6.02,5.96,6.0065,168942.0,breakout_setup,weak,neutral,0.9724489795918375,hold,hold,0,0,
60,2025-01-06 16:00:00+00:00,6.01,6.05,5.98,6.01,228913.0,breakout_setup,weak,neutral,0.9230769230769229,hold,hold,0,0,
61,2025-01-06 16:15:00+00:00,6.005,6.02,5.98,6.005,124969.0,breakout_setup,weak,neutral,0.9072164948453608,hold,hold,0,0,
62,2025-01-06 16:30:00+00:00,6.0001,6.01,5.96,5.97,91358.0,breakout_setup,weak,neutral,0.833333333333333,hold,hold,0,0,
63,2025-01-06 16:45:00+00:00,5.975,5.9999,5.9201,5.93,226699.0,pullback,weak,neutral,0.7391304347826084,hold,hold,0,0,
64,2025-01-06 17:00:00+00:00,5.935,5.94,5.885,5.886,166570.0,trend_late,weak,neutral,0.6272727272727275,reduce,hold,0,0,
65,2025-01-06 17:15:00+00:00,5.885,5.905,5.8608,5.87,154083.0,trend_late,weak,neutral,0.5609756097560984,hold,hold,0,0,
66,2025-01-06 17:30:00+00:00,5.87,5.88,5.84,5.865,220938.0,trend_late,weak,neutral,0.5375000000000003,hold,hold,0,0,
67,2025-01-06 17:45:00+00:00,5.8647,5.8771,5.84,5.8605,99512.0,trend_late,weak,neutral,0.5262499999999999,hold,hold,0,0,
68,2025-01-06 18:00:00+00:00,5.861,5.8699,5.83,5.845,113074.0,trend_late,weak,neutral,0.48101265822784733,hold,hold,0,0,
69,2025-01-06 18:15:00+00:00,5.845,5.86,5.815,5.86,110000.0,trend_late,weak,neutral,0.48648648648648796,hold,hold,0,0,
70,2025-01-06 18:30:00+00:00,5.8575,5.86,5.82,5.845,71414.0,trend_late,weak,neutral,0.4459459459459459,hold,hold,0,0,
71,2025-01-06 18:45:00+00:00,5.85,5.87,5.84,5.8529,81760.0,risk_rising,weak,neutral,0.4672972972972979,hold,hold,0,0,
72,2025-01-06 19:00:00+00:00,5.8599,5.875,5.845,5.8495,88142.0,risk_rising,weak,neutral,0.45810810810810854,hold,hold,0,0,
73,2025-01-06 19:15:00+00:00,5.845,5.89,5.84,5.885,101516.0,risk_rising,weak,neutral,0.29787234042553007,hold,hold,0,0,
74,2025-01-06 19:30:00+00:00,5.8895,5.895,5.87,5.88,62065.0,risk_rising,weak,neutral,0.27659574468084963,hold,hold,0,0,
75,2025-01-06 19:45:00+00:00,5.8871,5.9,5.88,5.895,38215.0,range_accumulation,weak,neutral,0.34042553191489094,hold,hold,0,0,
76,2025-01-06 20:00:00+00:00,5.89,5.905,5.855,5.855,65730.0,risk_rising,weak,neutral,0.17021276595744736,hold,hold,0,0,
77,2025-01-06 20:15:00+00:00,5.86,5.8658,5.84,5.86,82294.0,risk_rising,weak,neutral,0.19148936170212782,hold,hold,0,0,
78,2025-01-06 20:30:00+00:00,5.86,5.875,5.84,5.84,110404.0,risk_rising,weak,neutral,0.10638297872340224,hold,hold,0,0,
79,2025-01-06 20:45:00+00:00,5.8488,5.855,5.82,5.855,171504.0,risk_rising,weak,neutral,0.17021276595744736,hold,hold,0,0,
